0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,24,10,0,0,0,18,8,0,19,11,0,0,0,23,10,10,0,31,0,24,9,0,8,10,10,0,10,17,0,10,0,9,10,0,0,0,0,7,14,42,26,10,0,17,11,9,15,0,46,9,0,24,11,9,50,28,0,7,13,0,30,15,0,21,15,15,21,0,0,13,0,6,22,0,29,8,11,19,0,0,0,52,0,8,0,0,24,10,17,6,29,17,24,0,0,0,0,0,7,
7,0,23,20,0,0,9,0,32,9,0,0,23,11,0,0,12,27,0,0,0,9,9,22,0,7,0,0,12,12,10,28,8,0,19,0,31,0,0,0,14,0,9,15,20,10,13,23,0,0,14,0,0,0,11,9,13,9,14,10,0,12,35,15,9,10,12,11,17,18,25,0,26,0,0,42,7,12,34,15,11,12,21,35,15,0,10,30,0,0,0,0,0,27,26,39,0,6,20,7,
0,7,0,8,7,27,20,11,7,0,10,31,0,0,15,51,7,0,9,0,12,14,35,12,0,9,13,14,0,19,14,0,11,0,10,12,20,25,0,8,0,0,0,11,21,48,0,0,31,23,11,0,12,0,0,24,0,13,0,22,10,0,0,15,10,9,10,0,0,14,41,10,0,15,7,0,23,11,18,43,30,0,0,15,0,0,10,17,11,0,7,23,0,35,7,0,9,0,13,13,
23,0,0,9,8,9,22,11,9,0,0,10,0,0,0,0,0,0,0,0,42,0,11,38,0,0,21,11,10,24,10,11,8,0,26,0,0,9,13,14,0,0,10,31,20,9,0,17,11,22,14,13,24,20,11,0,0,44,0,34,0,0,11,10,0,0,0,14,21,10,10,10,0,15,0,0,0,9,0,0,0,28,9,21,0,12,8,32,0,19,31,32,30,8,27,25,8,26,11,6,
6,17,8,0,17,20,8,12,0,8,0,8,0,14,19,0,23,9,16,21,0,24,11,10,9,0,0,9,7,27,18,15,12,0,14,9,0,34,12,15,0,11,35,10,0,12,12,11,25,0,12,12,8,0,9,12,14,24,35,10,9,27,17,0,0,24,9,14,13,0,25,0,5,14,0,0,14,23,0,8,25,0,0,12,8,7,0,9,11,0,16,7,0,0,14,0,0,0,32,13,
0,0,14,17,18,11,0,32,0,19,11,0,12,7,24,10,36,18,13,0,11,0,10,8,8,30,17,33,0,13,0,8,11,16,12,52,20,18,24,0,25,11,10,0,13,0,0,0,8,10,15,0,0,11,9,11,36,0,15,12,11,15,12,38,11,0,8,0,0,0,0,0,10,0,16,12,0,16,0,33,29,0,50,7,0,0,0,22,0,8,0,21,0,11,6,10,10,5,8,0,
0,22,27,0,31,8,0,0,19,0,19,14,12,0,13,20,10,34,33,0,14,0,9,11,24,0,9,0,12,14,0,0,21,12,25,12,0,33,13,12,0,0,17,11,0,0,0,18,23,0,0,0,0,30,10,0,0,36,8,18,0,0,0,0,11,35,12,10,17,0,0,23,8,0,15,7,0,0,10,10,0,27,25,23,39,12,0,0,10,37,12,18,10,34,12,10,0,0,0,6,
0,0,7,24,10,0,0,9,0,9,0,18,22,0,0,46,9,24,15,9,12,0,19,0,21,0,32,0,8,0,0,0,0,31,25,0,11,13,10,21,13,25,9,37,12,11,12,0,0,0,26,0,18,14,12,0,0,9,21,0,0,13,0,0,24,0,0,17,0,12,21,52,16,0,0,14,27,8,22,13,32,42,11,0,0,0,21,15,0,22,18,0,14,6,9,0,0,17,8,4,
0,7,23,28,22,9,11,10,0,14,11,11,0,18,0,0,0,0,0,13,30,0,0,19,8,0,18,0,0,25,19,23,8,12,11,0,47,0,22,0,8,27,11,8,0,0,0,0,13,12,0,0,31,0,24,7,11,0,14,13,14,23,14,0,16,40,9,11,0,0,8,10,24,13,62,0,0,20,48,21,9,0,0,7,11,0,13,11,17,0,0,12,10,0,0,24,14,10,7,0,
6,15,19,0,9,0,18,0,11,0,11,0,0,8,6,12,11,13,9,33,0,0,34,35,10,0,11,15,54,10,8,0,19,46,0,35,0,13,21,0,0,33,18,11,0,0,0,24,0,27,12,0,11,11,0,10,13,9,13,0,0,0,9,0,0,0,0,14,15,0,19,0,0,15,24,14,11,43,12,0,8,51,23,24,7,16,11,0,16,12,0,10,0,0,0,0,24,0,6,0,
22,9,18,0,10,9,13,19,0,11,0,19,9,22,18,0,0,0,0,12,23,9,0,14,10,13,22,9,11,10,27,13,8,0,12,17,0,0,12,0,0,21,0,11,23,14,9,0,0,16,0,8,0,29,10,7,0,10,41,17,0,0,0,9,0,18,16,25,0,0,15,10,0,26,32,39,19,0,23,34,40,0,0,8,11,0,0,5,0,24,0,20,0,9,24,11,0,9,9,15,
7,8,9,8,0,8,18,7,36,29,11,25,25,29,23,0,0,43,9,10,0,24,17,0,12,0,7,0,0,11,8,8,0,14,11,13,0,11,11,0,10,11,16,8,0,20,11,26,10,0,24,16,0,13,0,9,0,12,9,0,35,0,41,11,12,10,14,0,30,9,12,34,15,0,0,0,0,29,21,11,16,0,0,0,0,0,29,10,0,0,19,0,32,0,0,0,6,9,0,20,
0,0,15,0,0,9,9,9,0,18,12,0,11,12,0,19,35,0,7,24,10,0,19,23,13,11,0,8,9,10,10,0,0,11,0,33,12,13,11,0,0,0,22,0,21,21,13,0,11,42,47,0,32,10,24,11,0,9,16,0,17,0,0,0,28,11,10,16,0,46,0,10,10,10,9,13,16,0,13,10,8,40,13,0,9,7,13,12,26,0,12,0,13,8,7,0,18,6,6,15,
7,0,7,16,20,12,9,11,19,11,9,11,0,18,0,10,0,12,0,42,0,10,10,0,0,0,0,0,0,34,0,11,21,14,36,0,24,23,0,10,0,11,21,0,11,17,0,0,9,59,0,38,7,0,26,0,8,10,0,0,89,24,10,0,0,13,0,16,12,10,8,13,35,11,10,0,14,12,19,0,0,23,12,0,7,11,12,0,16,10,11,0,15,0,16,11,13,0,0,7,
7,0,7,18,0,9,0,0,18,12,0,0,12,0,0,18,8,11,14,21,0,0,0,0,0,7,15,12,26,17,13,0,11,11,31,8,20,10,0,8,23,0,10,44,32,47,12,24,0,8,0,34,0,0,24,41,23,7,0,0,26,25,0,30,11,13,0,0,0,17,0,0,19,31,25,0,0,0,19,34,24,0,21,11,8,0,0,0,0,0,11,29,0,21,7,0,16,7,0,4,
